Date,Symbol,Open,High,Low,Close,Volume
2023-01-02,AAPL,151.13486915214233,151.09516802968997,150.83749243441477,151.09,459723
2023-01-03,AAPL,151.20909330125164,152.1959704115866,149.6007412672105,150.92,237541
2023-01-04,AAPL,152.61033470088645,153.34035034066747,151.98676037742825,152.31,404245
2023-01-05,AAPL,155.18939449891462,156.6470771382463,154.9490133106888,155.46,164323
2023-01-06,AAPL,155.21135438800704,156.67748770076105,153.1967240916008,155.09,191922
2023-01-09,AAPL,154.68212376768818,156.01321182684572,153.59963548325018,154.72,289139
2023-01-10,AAPL,158.74999671304656,158.32954688565474,156.4785409860013,157.98,280448
2023-01-11,AAPL,159.6805302652698,160.3415450382212,158.5040385224347,159.62,276659
2023-01-12,AAPL,158.66206432349634,160.5917822095755,157.67497277043455,158.78,335659
2023-01-13,AAPL,159.76897089936372,161.49988940050338,159.7716961797486,159.96,489678
2023-01-16,AAPL,159.27485551886693,160.24327411587342,158.4426736147818,159.13,429728
2023-01-17,AAPL,158.9079539588018,158.81128999561855,157.73513820262698,158.3,204537
2023-01-18,AAPL,158.96680298076157,159.4941210036696,158.10854326877276,158.89,440621
2023-01-19,AAPL,155.48331035016108,156.62391613517127,153.56331162355133,155.16,341983
2023-01-20,AAPL,152.28571153381304,153.51234852170555,151.06613466416627,151.81,142533
2023-01-23,AAPL,150.83033621975744,152.1328493390612,149.88660636153662,150.79,363972
2023-01-24,AAPL,148.71363411330975,150.4790599515369,148.06523721902937,148.86,101917
2023-01-25,AAPL,150.3433307557249,151.12331227040082,149.4031840560494,149.59,382762
2023-01-26,AAPL,147.7050121680558,148.1694079359139,146.98785568349842,147.87,132254
2023-01-27,AAPL,145.07388570115117,145.99788962582662,144.75878145391098,145.15,361987
2023-01-30,AAPL,149.16068262668355,148.48596760165714,147.80655340845394,148.18,467436
2023-01-31,AAPL,146.8304750471518,148.30047116960398,147.64192779113148,147.83,147362
2023-02-01,AAPL,147.43094581915344,149.7985192493021,147.34665805171647,148.06,382272
2023-02-02,AAPL,145.07792777983946,146.25578393126636,143.79503623042118,145.31,485925
2023-02-03,AAPL,145.1851798188505,145.39071620368532,143.7671166188332,144.32,342353
2023-02-06,AAPL,143.79005941149495,145.00689193045554,144.02530179622897,144.65,290455
2023-02-07,AAPL,141.458970867257,143.0645435720976,141.15465068465514,142.44,165545
2023-02-08,AAPL,142.40536767195448,143.76049233685575,142.90831837482617,143.3,182180
2023-02-09,AAPL,141.36708682122725,142.60237232903685,140.39608413915292,142.19,187958
2023-02-10,AAPL,140.78519354641253,142.98592158663195,140.6696189534969,141.71,495435
2023-02-13,AAPL,140.56956265371304,141.12376769529143,139.71479411935957,140.61,401953
2023-02-14,AAPL,144.57151441445464,145.67403097204084,143.2943596161416,144.41,478892
2023-02-15,AAPL,144.033373942138,144.60690922821712,144.15793137316763,144.49,105287
2023-02-16,AAPL,142.26657476795128,142.7535487870542,141.24305372272164,142.47,357665
2023-02-17,AAPL,143.40339867022286,144.76908050800026,143.49379852673198,144.22,108512
2023-02-20,AAPL,141.54274092765684,143.0640938337914,140.07562731807076,141.87,232414
2023-02-21,AAPL,142.43503838326905,143.74168249017472,142.05229158664463,142.39,208872
2023-02-22,AAPL,139.03454361436928,139.45543393355905,137.55589779226912,138.57,347754
2023-02-23,AAPL,135.02669272408596,136.91158182915447,134.82377474126199,136.02,193070
2023-02-24,AAPL,136.4446215330753,137.95903370279723,136.44323279642722,136.51,179767
2023-02-27,AAPL,137.68400575290977,138.12164218353118,137.36261375048772,138.09,197829
2023-02-28,AAPL,139.2356436433838,139.21218004894845,137.06472953059833,138.53,142078
2023-03-01,AAPL,138.8311066304685,140.03741411423846,136.75924498510207,138.4,468432
2023-03-02,AAPL,138.0782170689418,139.10643882042675,137.27367601036545,137.9,183524
2023-03-03,AAPL,134.59453129139354,135.71445426551082,133.4428134552345,135.04,327645
2023-03-06,AAPL,134.52067820411506,135.51104958465933,131.76448824579322,133.7,112219
2023-03-07,AAPL,131.97020135444063,134.42524545489877,131.16625212784982,132.88,362379
2023-03-08,AAPL,134.30893519735824,135.61979089447348,134.85471202368134,135.09,405073
2023-03-09,AAPL,135.6632602810807,137.17057967505144,134.4005393358289,135.88,227309
2023-03-10,AAPL,131.6988751145937,133.6415014563779,131.8106663351189,132.45,429588
2023-03-13,AAPL,134.11283139511883,134.00237582807796,131.22316802117584,133.2,239639
2023-03-14,AAPL,133.12597864428676,133.2639121584096,131.55928203368023,132.53,463978
