CustomerID,Income,LoanAmount,CreditScore,DebtToIncomeRatio,Education,LoanApproved
CUST00001,47008.95749826651,11239.783090687752,548.0,0.4055573917558175,Bachelors,No
CUST00002,55437.667680737286,12240.739286447662,564.0,0.3053075779369652,Masters,No
CUST00003,10000.0,14188.791620145936,561.0,0.16253687945644166,Bachelors,No
CUST00004,33049.98925649305,13514.263908415025,514.0,0.3418426830412654,Bachelors,No
CUST00005,72337.99237421046,10156.559065352827,633.0,0.2136806473584733,Other,Yes
CUST00006,46950.946378569286,15272.737526673976,625.0,0.26566605089666595,Masters,Yes
CUST00007,31801.383054175792,14451.036269683918,450.0,0.38839478980848596,Bachelors,No
CUST00008,54097.254618590014,16514.199221175353,825.0,0.23539409479450704,High School,Yes
CUST00009,80581.52345778629,20459.653924199814,472.0,0.28721018389392106,Other,No
CUST00010,53024.5640953633,18369.39337998252,809.0,0.2569527854599283,Masters,Yes
CUST00011,38706.64158349436,5359.337665085226,651.0,0.35716379174390805,Masters,Yes
CUST00012,52935.50211449395,16413.722665000496,330.0,0.2604125914811002,Bachelors,No
CUST00013,31309.962515463034,15798.382650426987,765.0,0.2966434765299202,Bachelors,Yes
CUST00014,66499.33169786456,21297.260208179327,337.0,0.18269916874305575,High School,No
CUST00015,51184.65458002798,15381.64733256192,332.0,0.3609233103607703,High School,No
CUST00016,59943.51268938963,14317.882499345456,606.0,0.11069490627424178,Masters,Yes
CUST00017,46582.68863039798,9038.766366072226,518.0,0.2722430109573941,Bachelors,No
CUST00018,39621.12666534537,24639.498600040853,553.0,0.2611283803433359,High School,No
CUST00019,56027.70903801137,12344.245921735668,640.0,0.3813848596897389,Bachelors,Yes
CUST00020,44840.94244167273,18140.43583094918,313.0,0.29467558334862964,,No
CUST00021,87503.48158079636,9061.878026426955,301.0,0.28931837916476,High School,No
CUST00022,41427.756189551714,22309.18087515737,489.0,0.26147757319637394,Bachelors,No
CUST00023,65333.53386254913,17090.977754730622,330.0,0.35126141157761304,Bachelors,No
CUST00024,61060.83858677712,21308.73525249563,690.0,0.2919351838263785,Masters,Yes
CUST00025,,14095.105366979667,,0.2941514066793321,Bachelors,Yes
CUST00026,36863.44437997314,17388.18940891264,670.0,0.195213627269277,High School,Yes
CUST00027,60652.75738582322,11721.575980671068,373.0,0.514900193622273,Bachelors,No
CUST00028,35904.17532558479,14556.717000704692,453.0,0.3961602535482866,Bachelors,No
CUST00029,42635.395770621995,18929.151424312964,764.0,0.49423071977182853,High School,Yes
CUST00030,51164.16031498002,12250.802066500397,546.0,0.2266931514222613,Bachelors,No
CUST00031,43904.04039176306,14344.151209483387,490.0,0.23437574753769008,Other,No
CUST00032,38196.99192613021,8145.145128308079,656.0,0.224699818007761,Bachelors,Yes
CUST00033,27217.914305345166,15221.326733429374,329.0,0.35748325165131717,Bachelors,No
CUST00034,60318.89256330536,14711.93694001775,475.0,0.41480588092671034,High School,No
CUST00035,31680.83758285247,20196.40022372801,638.0,0.2933617681247267,Masters,Yes
CUST00036,63350.80456138186,16157.87017019172,609.0,0.2709890068107769,Bachelors,Yes
CUST00037,24412.362967821326,19244.23404353539,621.0,0.2904016035991546,High School,No
CUST00038,43839.655961017226,18807.20533786476,644.0,0.284944215535281,High School,Yes
CUST00039,32598.13163955298,20759.86438250603,527.0,0.22438940437310662,High School,No
CUST00040,47148.153620487814,10706.446185691497,452.0,0.14108879472973337,Bachelors,No
CUST00041,40633.33422289683,22655.67089121248,635.0,0.11200643545914665,Bachelors,Yes
CUST00042,44467.77910815874,16889.482911039904,800.0,0.3131430698491842,High School,Yes
CUST00043,41669.36414240312,25352.0751032096,835.0,0.32461922586981856,Masters,Yes
CUST00044,56186.916877680604,7977.5931668401545,319.0,0.32158589152012157,Bachelors,No
CUST00045,75424.71730011272,17720.034567614024,823.0,0.4343238927322531,Bachelors,Yes
CUST00046,71065.89946758635,10843.924225827188,308.0,0.4880954688312372,High School,No
CUST00047,48811.724221861536,16617.24957198953,739.0,0.3911076492034115,Bachelors,Yes
CUST00048,26492.108900233463,15015.954323177164,840.0,0.4109985418809394,Masters,No
CUST00049,45599.70354243562,13989.554592432934,676.0,0.40676980431078147,Bachelors,Yes
CUST00050,50694.80704338241,6504.612053877594,678.0,0.3431396997755112,High School,Yes
CUST00051,51454.26662064512,9276.863354038824,829.0,0.26479855437813965,Masters,Yes
CUST00052,54541.87485174209,13294.153837070746,320.0,0.3392855702946766,Bachelors,No
CUST00053,37697.50442372501,7138.8828991770415,804.0,0.19297463306230603,High School,Yes
CUST00054,56371.53330023108,22249.176629453726,397.0,0.32065568550416146,Bachelors,No
CUST00055,39034.230302744996,24077.21643017493,445.0,0.2846818573567849,Masters,No
CUST00056,47686.74968535024,17667.810605880186,642.0,0.33856188499017803,High School,Yes
